genre,platform,review_text,rating
Hip-hop,YouTube Music,Album sáng tạo và mang phong cách riêng,5
Rock,Apple Music,Album sáng tạo và mang phong cách riêng,3
Rock,Apple Music,Phần hòa âm sáng tạo và độc đáo,4
Rock,Spotify,Bản phối rất sáng tạo và thu hút,2
Rock,Spotify,Chất giọng hay nhưng thiếu cảm xúc,4
Indie,Spotify,Phần hòa âm sáng tạo và độc đáo,1
Hip-hop,Apple Music,Ca khúc rất sáng tạo và truyền cảm hứng,1
Pop,Spotify,Lời bài hát ý nghĩa và sâu lắng,5
Hip-hop,Spotify,Album sáng tạo và mang phong cách riêng,5
Indie,Spotify,Lời bài hát ý nghĩa và sâu lắng,3
Rock,Apple Music,Phần hòa âm sáng tạo và độc đáo,4
Indie,YouTube Music,Phần hòa âm sáng tạo và độc đáo,1
Hip-hop,Spotify,Phần hòa âm sáng tạo và độc đáo,5
Pop,YouTube Music,Lời bài hát ý nghĩa và sâu lắng,4
Indie,Spotify,Phần hòa âm sáng tạo và độc đáo,5
Pop,YouTube Music,Ca khúc rất sáng tạo và truyền cảm hứng,5
Indie,Apple Music,Phần hòa âm sáng tạo và độc đáo,1
Pop,Apple Music,Giai điệu bắt tai nhưng chưa mới,1
Pop,Spotify,Bản phối rất sáng tạo và thu hút,5
Rock,YouTube Music,Lời bài hát ý nghĩa và sâu lắng,2
Pop,Apple Music,Giai điệu bắt tai nhưng chưa mới,5
Rock,Spotify,Phần hòa âm sáng tạo và độc đáo,5
Hip-hop,Spotify,Ca khúc rất sáng tạo và truyền cảm hứng,3
Hip-hop,Apple Music,,3
Rock,Apple Music,Chất giọng hay nhưng thiếu cảm xúc,3
,Spotify,Bản phối rất sáng tạo và thu hút,2
Indie,YouTube Music,Chất giọng hay nhưng thiếu cảm xúc,2
Indie,YouTube Music,Phần hòa âm sáng tạo và độc đáo,5
Indie,YouTube Music,Bản phối rất sáng tạo và thu hút,3
