player_type,device,feedback_text,score
pro,console,Nhạc nền hay nhưng hơi to,2
experienced,mobile,Game chơi vui và rất đẹp,2
new_player,pc,Nhiệm vụ đa dạng và thú vị,8
pro,pc,Nhạc nền hay nhưng hơi to,9
new_player,console,,7
new_player,mobile,Game chơi vui và rất đẹp,3
casual,mobile,Gameplay sáng tạo nhưng hơi khó,9
experienced,console,Cốt truyện hấp dẫn và lôi cuốn,3
pro,mobile,Hiệu ứng đẹp nhưng game lag,5
new_player,pc,Game chơi vui và rất đẹp,9
new_player,console,Nhạc nền hay nhưng hơi to,3
pro,console,Hiệu ứng đẹp nhưng game lag,7
new_player,mobile,Đồ họa rất đẹp và mượt,1
casual,console,Nhạc nền hay nhưng hơi to,4
casual,mobile,Nhiệm vụ đa dạng và thú vị,4
casual,mobile,Đồ họa rất đẹp và mượt,7
casual,mobile,Đồ họa rất đẹp và mượt,8
new_player,mobile,Nhiệm vụ đa dạng và thú vị,1
pro,mobile,Game chơi vui và rất đẹp,5
pro,console,Đồ họa rất đẹp và mượt,7
pro,pc,Cốt truyện hấp dẫn và lôi cuốn,4
pro,pc,Nhạc nền hay nhưng hơi to,4
experienced,console,,4
pro,console,Đồ họa rất đẹp và mượt,6
experienced,pc,Nhạc nền hay nhưng hơi to,7
experienced,pc,Gameplay sáng tạo nhưng hơi khó,2
casual,pc,Nhạc nền hay nhưng hơi to,5
experienced,pc,Hiệu ứng đẹp nhưng game lag,4
new_player,pc,Nhạc nền hay nhưng hơi to,3
experienced,mobile,Nhiệm vụ đa dạng và thú vị,7
casual,console,Hiệu ứng đẹp nhưng game lag,6
experienced,mobile,Game chơi vui và rất đẹp,7
new_player,pc,Gameplay sáng tạo nhưng hơi khó,5
new_player,pc,Nhiệm vụ đa dạng và thú vị,6
new_player,pc,Game chơi vui và rất đẹp,5
casual,mobile,Nhạc nền hay nhưng hơi to,7
casual,mobile,Hiệu ứng đẹp nhưng game lag,2
pro,pc,Gameplay sáng tạo nhưng hơi khó,5
casual,mobile,Nhiệm vụ đa dạng và thú vị,6
new_player,mobile,Game chơi vui và rất đẹp,6
new_player,pc,Game chơi vui và rất đẹp,5
casual,mobile,Gameplay sáng tạo nhưng hơi khó,10
experienced,console,Cốt truyện hấp dẫn và lôi cuốn,7
casual,console,Nhạc nền hay nhưng hơi to,10
casual,console,Gameplay sáng tạo nhưng hơi khó,8
new_player,console,Game chơi vui và rất đẹp,7
pro,pc,Đồ họa rất đẹp và mượt,5
new_player,pc,Nhiệm vụ đa dạng và thú vị,1
pro,pc,Gameplay sáng tạo nhưng hơi khó,5
new_player,console,Cốt truyện hấp dẫn và lôi cuốn,10
casual,console,Game chơi vui và rất đẹp,2
new_player,mobile,Nhạc nền hay nhưng hơi to,5
new_player,mobile,Game chơi vui và rất đẹp,5
new_player,console,Nhạc nền hay nhưng hơi to,2
casual,console,Gameplay sáng tạo nhưng hơi khó,5
casual,console,Nhạc nền hay nhưng hơi to,4
casual,console,Hiệu ứng đẹp nhưng game lag,1
casual,mobile,Hiệu ứng đẹp nhưng game lag,3
pro,console,Hiệu ứng đẹp nhưng game lag,1
pro,,Cốt truyện hấp dẫn và lôi cuốn,5
experienced,console,Cốt truyện hấp dẫn và lôi cuốn,4
casual,console,Đồ họa rất đẹp và mượt,7
pro,console,Cốt truyện hấp dẫn và lôi cuốn,5
new_player,mobile,Gameplay sáng tạo nhưng hơi khó,10
casual,mobile,Game chơi vui và rất đẹp,4
experienced,pc,Game chơi vui và rất đẹp,2
experienced,console,Đồ họa rất đẹp và mượt,4
experienced,pc,Cốt truyện hấp dẫn và lôi cuốn,2
new_player,pc,Nhạc nền hay nhưng hơi to,8
pro,mobile,Đồ họa rất đẹp và mượt,3
new_player,mobile,Nhạc nền hay nhưng hơi to,9
casual,pc,Nhạc nền hay nhưng hơi to,4
experienced,console,Nhiệm vụ đa dạng và thú vị,6
new_player,mobile,Game chơi vui và rất đẹp,10
new_player,console,Hiệu ứng đẹp nhưng game lag,5
pro,console,Cốt truyện hấp dẫn và lôi cuốn,10
pro,pc,Nhạc nền hay nhưng hơi to,1
experienced,pc,Nhiệm vụ đa dạng và thú vị,9
new_player,pc,Game chơi vui và rất đẹp,1
new_player,pc,Hiệu ứng đẹp nhưng game lag,8
pro,mobile,Nhạc nền hay nhưng hơi to,9
new_player,mobile,Nhạc nền hay nhưng hơi to,9
new_player,pc,Đồ họa rất đẹp và mượt,1
new_player,mobile,Đồ họa rất đẹp và mượt,2
pro,pc,Game chơi vui và rất đẹp,1
experienced,console,Hiệu ứng đẹp nhưng game lag,10
casual,console,Nhạc nền hay nhưng hơi to,2
experienced,console,Game chơi vui và rất đẹp,10
casual,pc,Game chơi vui và rất đẹp,8
new_player,console,Gameplay sáng tạo nhưng hơi khó,5
experienced,mobile,Cốt truyện hấp dẫn và lôi cuốn,7
casual,console,Đồ họa rất đẹp và mượt,2
pro,console,Hiệu ứng đẹp nhưng game lag,8
pro,,Nhạc nền hay nhưng hơi to,6
experienced,mobile,Game chơi vui và rất đẹp,8
experienced,pc,Nhạc nền hay nhưng hơi to,1
new_player,mobile,Gameplay sáng tạo nhưng hơi khó,1
experienced,pc,Hiệu ứng đẹp nhưng game lag,7
new_player,pc,Game chơi vui và rất đẹp,8
new_player,console,Nhạc nền hay nhưng hơi to,3
pro,pc,Đồ họa rất đẹp và mượt,5
pro,mobile,Cốt truyện hấp dẫn và lôi cuốn,1
casual,mobile,Gameplay sáng tạo nhưng hơi khó,7
pro,pc,Hiệu ứng đẹp nhưng game lag,5
pro,console,Gameplay sáng tạo nhưng hơi khó,8
experienced,console,Đồ họa rất đẹp và mượt,8
